permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,id
"/company/ac-immune-sa",AC Immune SA,http://acimmune.com,biotech,2.200946E7,operating,CHE,,TBD,1015 Lausanne,1.0,1/1/03," 2003-01 ",2003-Q1,2003.0,1/9/14,1/9/14,,298
"/company/acacia",Acacia,http://angel.co/acacia,mobile,15000.0,operating,USA,TN,Nashville,Nashville,1.0,3/10/12," 2012-03 ",2012-Q1,2012.0,5/20/12,5/20/12,3/10/12,299
"/company/acacia-communications",Acacia Communications,http://www.acacia-inc.com,network_hosting,2.3E7,operating,USA,MA,Boston,Maynard,2.0,1/1/09," 2009-01 ",2009-Q1,2009.0,12/12/11,5/15/13,1/1/09,300
"/company/acacia-interactive",Acacia Interactive,http://investing.businessweek.com,software,259910.0,operating,USA,TN,Nashville,Nashville,1.0,1/1/12," 2012-01 ",2012-Q1,2012.0,3/29/13,3/29/13,,301
"/company/acacia-living",Acacia Living,http://acacialiving.com,health,2338650.0,operating,USA,AZ,Phoenix,Scottsdale,1.0,1/1/10," 2010-01 ",2010-Q1,2010.0,12/11/13,12/11/13,,302
"/company/acacia-pharma",Acacia Pharma,http://www.acaciapharma.com,biotech,3.35E7,operating,GBR,,London,Cambridge,2.0,1/1/06," 2006-01 ",2006-Q1,2006.0,3/31/11,9/3/13,,303
"/company/acacia-research",Acacia Research,http://www.acaciaresearch.com,finance,2.446E8,ipo,USA,CA,Los Angeles,Newport Beach,2.0,1/1/92," 1992-01 ",1992-Q1,1992.0,2/10/05,2/21/12,10/1/13,304
"/company/acacia-semiconductor",ACACIA Semiconductor,,semiconductor,368000.0,operating,PRT,,Caparica,Caparica,1.0,1/1/03," 2003-01 ",2003-Q1,2003.0,6/3/05,6/3/05,,305
"/company/academia-rfid",Academia RFID,http://rfidacademia.com,consulting,4499999.0,operating,CAN,,Montreal,Montreal,1.0,1/1/05," 2005-01 ",2005-Q1,2005.0,7/30/12,7/30/12,,306
"/company/academia-edu",Academia.edu,http://Academia.edu,social,1.78E7,operating,USA,CA,SF Bay,San Francisco,4.0,9/1/08," 2008-09 ",2008-Q3,2008.0,11/2/07,9/26/13,10/23/13,307
"/company/academic-earth",Academic Earth,http://academicearth.org,education,,acquired,USA,CA,SF Bay,San Francisco,1.0,1/1/08," 2008-01 ",2008-Q1,2008.0,10/1/08,10/1/08,1/10/12,308
"/company/academy-of-inovation",Academy of Inovation,,social,50000.0,operating,,,unknown,,1.0,2/11/11," 2011-02 ",2011-Q1,2011.0,2/11/11,2/11/11,,309
"/company/acadia-pharmaceuticals",ACADIA Pharmaceuticals,http://www.acadia-pharm.com,biotech,1.01385E8,ipo,USA,CA,San Diego,San Diego,2.0,,,,,1/11/11,1/2/13,12/13/12,310
"/company/acadiasoft",AcadiaSoft,http://www.acadiasoft.com,finance,4000000.0,operating,USA,MA,Boston,Pembroke,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,1/8/10,1/8/10,,311
"/company/acal-energy",ACAL Energy,http://www.acalenergy.co.uk,cleantech,1.6424363E7,operating,GBR,,Runcorn,Runcorn,3.0,8/1/04," 2004-08 ",2004-Q3,2004.0,12/3/08,6/15/11,1/1/12,312
"/company/acamica",Acamica,http://www.acamica.com,education,130000.0,operating,ARG,,Buenos Aires,Buenos Aires,2.0,7/1/12," 2012-07 ",2012-Q3,2012.0,7/22/13,1/1/14,7/1/12,313
"/company/acarix",Acarix,http://acarix.com,medical,4710960.0,operating,DNK,,Kongens Lyngby,Kongens Lyngby,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,3/15/13,3/15/13,4/1/11,314
"/company/accedo-broadband",Accedo,http://accedo.tv,hardware,1270000.0,operating,SWE,,Stockholm,Stockholm,1.0,1/1/04," 2004-01 ",2004-Q1,2004.0,6/19/07,6/19/07,6/1/04,315
"/company/accela",Accela,http://www.accela.com,software,5.0E7,operating,USA,CA,SF Bay,San Ramon,2.0,1/1/99," 1999-01 ",1999-Q1,1999.0,1/1/12,10/16/13,1/1/09,316
"/company/accelera-innovations",Accelera Innovations,http://accelerainnovations.com,health,2.0E8,ipo,USA,IL,Chicago,Frankfort,1.0,,,,,10/24/13,10/24/13,10/1/10,317
"/company/accelera-mobile-broadband",Accelera Mobile Broadband,http://acceleramb.com,mobile,3033472.0,operating,USA,CA,SF Bay,Santa Clara,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,5/10/13,5/10/13,1/1/12,318
"/company/accelerate-mobile-apps",Accelerate Mobile Apps,http://accelerate-ld.com,mobile,250000.0,operating,USA,CA,SF Bay,Scotts Valley,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,12/22/09,12/22/09,,319
"/company/accelerated-orthopedic-technologies",Accelerated Orthopedic Technologies,http://www.acceleratedorthopedics.com,medical,150000.0,closed,USA,CT,Guilford,Guilford,1.0,,,,,5/18/12,5/18/12,,320
"/company/accelerated-vision-group",Accelerated Vision Group,http://acceleratedvision.com,analytics,8500000.0,operating,USA,KS,Kansas City,Overland Park,2.0,1/1/11," 2011-01 ",2011-Q1,2011.0,5/21/12,10/25/13,,321
"/company/accelereach",Accelereach,http://accelereach.com,social,50000.0,operating,,,unknown,,1.0,,,,,8/1/09,8/1/09,,322
"/company/accelerize-new-media",Accelerize New Media,http://www.accelerizenewmedia.com,enterprise,1045500.0,operating,USA,CA,Los Angeles,Los Angeles,2.0,1/1/05," 2005-01 ",2005-Q1,2005.0,5/10/10,10/26/10,1/10/11,323
"/company/acceleron-pharma",Acceleron Pharma,http://www.acceleronpharma.com,biotech,1.13701127E8,operating,USA,MA,Boston,Cambridge,6.0,1/1/04," 2004-01 ",2004-Q1,2004.0,8/2/06,12/23/11,9/19/13,324
"/company/accelitec",Accelitec,http://www.accelitec.com,software,5705841.0,operating,USA,WA,Bellingham,Bellingham,3.0,1/1/01," 2001-01 ",2001-Q1,2001.0,5/15/09,6/11/13,,325
"/company/accellion",Accellion,http://www.accellion.com,enterprise,1.3410901E7,operating,USA,CA,SF Bay,Palo Alto,2.0,1/1/99," 1999-01 ",1999-Q1,1999.0,1/4/12,3/9/12,1/4/12,326
"/company/accelops",AccelOps,http://www.accelops.com,analytics,2.5E7,operating,USA,CA,SF Bay,Santa Clara,2.0,1/1/07," 2007-01 ",2007-Q1,2007.0,10/1/07,5/1/12,11/1/13,327
"/company/accendo-technologies",Accendo Technologies,http://www.accendo.co.za,software,1560000.0,operating,,,unknown,,1.0,1/1/02," 2002-01 ",2002-Q1,2002.0,1/25/05,1/25/05,6/1/07,328
"/company/accent",Accent,http://www.accent-soc.com,semiconductor,2.020996E7,operating,ITA,,Italy - Other,,2.0,,,,,7/17/06,10/12/10,10/12/10,329
"/company/accentia-biopharmaceuticals-inc",Accentia Biopharmaceuticals Inc,,biotech,775000.0,operating,USA,FL,Tampa,TAMPA,2.0,,,,,2/8/12,6/25/13,,330
