ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
1382,,,5,5,3,2017
1383,New York City,Apps,5,9,5,2017
1384,Beijing,Apps,3,9,3,2017
1385,New York City,"Apps, Explorer",5,9,3,2017
1386,New York City,Apps,5,6,2,2017
1387,,,2,10,3,2017
1388,Santa Clara,"Games, Explorer",7,8,3,2017
1389,Santa Clara,"Apps, Explorer",7,9,4,2017
1390,San Francisco,Apps,7,10,3,2017
1391,Los Angeles,Apps,7,9,3,2017
1392,San Francisco,Apps,7,8,3,2017
1393,Los Angeles,Apps,7,9,4,2017
1394,New York City,Apps,5,6,3,2017
1395,New York City,Apps,5,9,3,2017
1396,San Francisco,Games,7,9,3,2017
1397,Oakland,Apps,7,9,3,2017
1398,San Francisco,"Apps, Explorer",7,7,3,2017
1399,Tokyo,Apps,3,6,3,2017
1400,Tokyo,Apps,3,9,4,2017
1401,San Francisco,VR,8,10,3,2017
1402,New York City,Apps,6,9,3,2017
1403,New York City,Apps,6,6,3,2017
1404,New York City,Apps,6,8,3,2017
1405,New York City,Apps,6,10,3,2017
1406,New York City,"Apps, Explorer",6,8,3,2017
1407,New York City,Apps,6,7,3,2017
1408,New York City,Games,6,10,3,2017
1409,New York City,Apps,6,10,3,2017
1410,New York City,Apps,6,7,4,2017
1411,New York City,Games,6,10,3,2017
1412,New York City,Apps,6,9,3,2017
1413,New York City,"Games, Explorer",6,10,3,2017
1414,New York City,Games,6,8,3,2017
1415,New York City,Apps,6,8,3,2017
1416,New York City,Games,6,10,3,2017
1417,New York City,Apps,6,8,3,2017
1418,New York City,Apps,6,8,3,2017
1419,New York City,Apps,6,10,3,2017
1420,New York City,Games,6,10,3,2017
1421,New York City,Games,6,10,3,2017
1422,New York City,Apps,6,8,3,2017
1423,New York City,Apps,6,6,5,2017
1424,New York City,Games,6,9,3,2017
1425,New York City,Apps,6,8,3,2017
1426,New York City,Apps,6,10,3,2017
1427,New York City,Apps,6,8,3,2017
1428,New York City,Apps,6,8,4,2017
1429,New York City,Apps,6,9,3,2017
1430,New York City,"Games, Explorer",6,10,3,2017
1431,New York City,Games,6,10,3,2017
1432,New York City,Apps,6,8,4,2017
1433,New York City,"Apps, Explorer",6,7,4,2017
1434,New York City,Apps,6,6,3,2017
1435,New York City,"Games, Explorer",6,7,3,2017
1436,New York City,"Apps, Explorer",6,10,3,2017
1437,New York City,"Apps, Explorer",6,8,3,2017
1438,New York City,Apps,6,7,4,2017
1439,New York City,"Games, Explorer",6,10,3,2017
1440,New York City,Apps,6,8,3,2017
1441,New York City,Apps,6,9,3,2017
1442,Los Angeles,Games,8,7,5,2017
1443,Los Angeles,Apps,8,9,3,2017
1444,Los Angeles,Games,8,9,3,2017
1445,Los Angeles,Apps,8,10,3,2017
1446,Los Angeles,Games,8,9,2,2017
1447,Los Angeles,Apps,8,10,3,2017
1448,Tokyo,Apps,3,9,4,2017
1449,Tokyo,Apps,3,10,3,2017
1450,Tokyo,Apps,3,10,3,2017
1451,New York City,"Apps, Explorer",6,8,3,2017
1452,,,7,7,3,2017
1453,New York City,"Apps, Explorer",6,10,3,2017
1454,Washington DC,"Apps, Explorer",7,5,3,2017
1455,New York City,Apps,6,8,3,2017
1456,New York City,Apps,6,10,3,2017
1457,,,6,10,3,2017
1459,Tokyo,Apps,3,9,3,2017
1460,Tokyo,Apps,3,9,4,2017
1461,New York City,Apps,6,10,3,2017
1462,Los Angeles,Apps,8,10,4,2017
1463,Tokyo,Apps,3,10,3,2017
1464,Tokyo,Apps,3,8,3,2017
1465,Los Angeles,Games,8,8,2,2017
1466,Tokyo,Apps,3,8,3,2017
1467,New York City,Games,7,10,3,2017
1468,New York City,"Games, Explorer",7,10,3,2017
1469,New York City,Games,7,10,4,2017
1470,New York City,Games,7,10,3,2017
1471,New York City,Apps,7,8,3,2017
1472,New York City,Games,7,9,3,2017
1473,New York City,"Games, Explorer",7,10,3,2017
1474,New York City,Games,7,9,3,2017
1475,New York City,Apps,7,9,3,2017
1476,New York City,Apps,7,8,4,2017
1477,New York City,Games,7,10,3,2017
1478,New York City,Apps,7,10,3,2017
1479,New York City,Games,7,9,3,2017
1480,New York City,Apps,7,9,3,2017
1481,New York City,Apps,7,10,3,2017
1482,New York City,Apps,7,8,3,2017
1483,New York City,Apps,7,7,4,2017
1484,New York City,"Apps, Explorer",7,7,5,2017
1485,New York City,Apps,7,7,3,2017
1486,New York City,Apps,7,9,3,2017
1487,New York City,Apps,7,8,3,2017
1488,New York City,"Games, Explorer",7,7,3,2017
1489,New York City,"Apps, Explorer",7,10,3,2017
1490,New York City,"Apps, Explorer",7,10,3,2017
1491,New York City,Games,7,9,4,2017
1492,New York City,Apps,7,9,3,2017
1493,New York City,Apps,7,3,3,2017
1494,New York City,"Games, Explorer",7,10,3,2017
1495,New York City,"Apps, Explorer",7,10,3,2017
1496,New York City,"Apps, Explorer",7,8,3,2017
1497,New York City,Apps,7,10,3,2017
1498,New York City,"Apps, Explorer",7,1,2,2017
1499,New York City,Apps,5,8,3,2017
,Los Angeles,,1,6,4,2016
,Los Angeles,,1,8,4,2016
,Los Angeles,,1,8,4,2016
,Los Angeles,,1,8,4,2016
,Los Angeles,,1,8,5,2016
,Los Angeles,,1,10,4,2016
,Los Angeles,,1,10,3,2016
,New York City,Games,1,6,5,2016
,New York City,Games,1,6,3,2016
,New York City,Apps,1,6,3,2016
,New York City,Intro,1,8,3,2016
,New York City,Intro,1,8,4,2016
,New York City,Intro,1,8,4,2016
,New York City,Intro,1,8,4,2016
,New York City,Games,1,8,4,2016
,New York City,Games,1,8,4,2016
,New York City,Games,1,8,3,2016
,New York City,Games,1,8,3,2016
,New York City,Games,1,8,4,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,3,2016
,New York City,Apps,1,8,4,2016
,New York City,Apps,1,8,2,2016
